sku,description,date,units_in_stock,reorder_point,days_until_restock,status
POST,POSTAGE,2011-07-01,366,50,0,IN_STOCK
22423,REGENCY CAKESTAND 3 TIER,2011-07-01,342,50,0,IN_STOCK
85099B,JUMBO BAG RED RETROSPOT,2011-07-01,257,50,0,IN_STOCK
20727,LUNCH BAG BLACK SKULL,2011-07-01,211,50,0,IN_STOCK
22386,JUMBO BAG WOODLAND ANIMALS,2011-07-01,319,50,0,IN_STOCK
POST,POSTAGE,2011-07-22,0,50,21,OUT_OF_STOCK
22423,REGENCY CAKESTAND 3 TIER,2011-07-22,0,50,25,OUT_OF_STOCK
85099B,JUMBO BAG RED RETROSPOT,2011-07-22,0,50,19,OUT_OF_STOCK
20727,LUNCH BAG BLACK SKULL,2011-07-22,0,50,28,OUT_OF_STOCK
22386,JUMBO BAG WOODLAND ANIMALS,2011-07-22,0,50,16,OUT_OF_STOCK
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-07-22,225,30,0,IN_STOCK
47566,PARTY BUNTING,2011-07-22,86,30,0,IN_STOCK
20725,LUNCH BAG RED RETROSPOT,2011-07-22,128,30,0,IN_STOCK
84879,ASSORTED COLOUR BIRD ORNAMENT,2011-07-22,108,30,0,IN_STOCK
