date,imports_bn_usd,exports_bn_usd,trade_balance_bn_usd,import_price_index,energy_import_share_pct
2019-01-01,201.7,174.8,-26.9,100.0,13.6
2019-02-01,206.8,176.0,-30.8,98.2,10.6
2019-03-01,204.0,184.6,-19.4,99.0,13.2
2019-04-01,202.6,175.0,-27.6,100.7,10.7
2019-05-01,205.3,183.8,-21.5,102.6,12.5
2019-06-01,198.3,185.3,-13.0,101.6,11.9
2019-07-01,209.0,175.1,-33.9,103.2,11.0
2019-08-01,203.2,179.3,-23.9,100.0,12.7
2019-09-01,196.5,179.6,-16.9,102.7,11.7
2019-10-01,209.8,180.8,-29.0,104.0,12.3
2019-11-01,203.8,174.0,-29.8,100.3,11.6
2019-12-01,199.4,176.9,-22.5,103.4,13.6
2020-01-01,199.2,184.2,-15.0,98.8,11.4
2020-02-01,193.7,183.4,-10.3,98.2,10.4
2020-03-01,198.1,176.6,-21.5,99.6,13.9
2020-04-01,197.3,187.3,-10.0,100.9,12.6
2020-05-01,204.5,187.6,-16.9,102.6,12.5
2020-06-01,209.7,174.5,-35.2,103.8,10.1
2020-07-01,197.2,178.0,-19.2,99.5,11.0
2020-08-01,191.9,186.5,-5.4,99.9,11.2
2020-09-01,205.7,173.8,-31.9,101.9,10.8
2020-10-01,194.7,176.5,-18.2,98.5,11.4
2020-11-01,190.0,186.1,-3.9,100.7,10.1
2020-12-01,198.5,180.6,-17.9,99.6,13.5
2021-01-01,193.7,185.4,-8.3,99.3,14.0
2021-02-01,195.7,181.6,-14.1,100.5,12.4
2021-03-01,206.9,175.6,-31.3,102.3,10.7
2021-04-01,209.5,178.1,-31.4,101.3,13.5
2021-05-01,203.0,175.6,-27.4,99.7,10.5
2021-06-01,204.4,175.4,-29.0,100.8,10.1
2021-07-01,207.8,177.1,-30.7,119.7,19.6
2021-08-01,199.5,182.2,-17.3,113.3,19.6
2021-09-01,209.4,177.2,-32.2,114.6,23.8
2021-10-01,206.6,176.9,-29.7,121.7,24.1
2021-11-01,198.9,181.5,-17.4,113.6,23.3
2021-12-01,204.3,176.3,-28.0,121.7,27.9
2022-01-01,204.0,182.2,-21.8,117.0,18.6
2022-02-01,196.5,187.3,-9.2,115.9,23.6
2022-03-01,191.2,175.2,-16.0,116.2,23.8
2022-04-01,201.1,176.9,-24.2,121.6,27.3
2022-05-01,193.2,187.5,-5.7,117.5,24.2
2022-06-01,191.1,183.0,-8.1,121.4,21.0
2022-07-01,199.6,177.8,-21.8,98.0,11.3
2022-08-01,194.7,177.1,-17.6,101.5,12.9
2022-09-01,198.3,184.1,-14.2,100.1,12.6
2022-10-01,203.2,172.2,-31.0,102.7,13.3
2022-11-01,206.6,179.6,-27.0,102.8,10.3
2022-12-01,193.9,180.6,-13.3,98.5,11.7
2023-01-01,190.8,179.2,-11.6,99.5,12.2
2023-02-01,204.1,176.6,-27.5,98.3,13.8
2023-03-01,205.3,184.0,-21.3,102.2,11.1
2023-04-01,205.5,173.6,-31.9,98.8,13.4
2023-05-01,204.6,183.3,-21.3,99.6,10.8
2023-06-01,200.9,172.1,-28.8,103.8,11.8
2023-07-01,203.1,173.3,-29.8,99.4,10.4
2023-08-01,193.8,181.9,-11.9,99.5,13.2
2023-09-01,200.2,173.0,-27.2,101.3,13.3
2023-10-01,198.8,178.6,-20.2,99.4,13.0
2023-11-01,193.5,183.8,-9.7,103.8,10.2
2023-12-01,201.0,181.0,-20.0,101.8,10.5
