date,wti_crude_usd_bbl,brent_crude_usd_bbl,gasoline_retail_usd_gal
2019-01-01,68.68,71.19,1.92
2019-02-01,60.09,62.33,1.72
2019-03-01,61.84,63.7,1.79
2019-04-01,70.28,73.42,1.94
2019-05-01,67.51,69.1,1.81
2019-06-01,67.96,70.36,1.96
2019-07-01,69.11,72.31,2.0
2019-08-01,63.75,66.06,1.75
2019-09-01,74.24,78.02,2.08
2019-10-01,72.68,74.72,1.93
2019-11-01,66.74,70.4,1.82
2019-12-01,61.52,63.46,1.72
2020-01-01,60.84,63.66,1.76
2020-02-01,71.18,74.62,2.01
2020-03-01,61.59,63.22,1.81
2020-04-01,65.47,67.08,1.87
2020-05-01,71.1,73.12,1.9
2020-06-01,70.36,71.87,2.02
2020-07-01,70.87,72.44,1.92
2020-08-01,68.42,71.98,1.84
2020-09-01,63.23,66.59,1.86
2020-10-01,62.92,64.89,1.77
2020-11-01,72.31,76.4,1.91
2020-12-01,74.02,76.91,1.97
2021-01-01,74.81,76.97,2.04
2021-02-01,72.6,76.78,2.07
2021-03-01,67.65,71.3,1.96
2021-04-01,69.23,73.41,1.88
2021-05-01,62.37,64.53,1.74
2021-06-01,68.85,72.37,1.87
2021-07-01,66.8,71.03,1.87
2021-08-01,75.93,78.63,2.07
2021-09-01,74.13,78.46,1.96
2021-10-01,75.5,79.79,2.05
2021-11-01,73.98,77.18,1.97
2021-12-01,71.21,75.19,2.03
2022-01-01,70.98,72.91,1.95
2022-02-01,73.32,77.44,2.04
2022-03-01,71.49,75.16,1.96
2022-04-01,70.82,74.25,1.95
2022-05-01,73.0,76.39,2.08
2022-06-01,73.72,75.54,2.11
2022-07-01,70.35,73.74,1.98
2022-08-01,75.44,78.61,2.16
2022-09-01,75.91,78.3,2.05
2022-10-01,71.6,73.57,1.92
2022-11-01,66.37,70.2,1.93
2022-12-01,68.86,71.74,1.87
2023-01-01,62.53,66.26,1.8
2023-02-01,63.73,67.53,1.79
2023-03-01,67.22,69.12,1.95
2023-04-01,75.7,80.03,2.04
2023-05-01,74.74,78.79,2.04
2023-06-01,68.27,70.89,1.95
2023-07-01,72.48,75.25,1.98
2023-08-01,70.48,74.13,1.9
2023-09-01,61.06,65.27,1.8
2023-10-01,67.91,71.3,1.96
2023-11-01,65.43,68.66,1.74
2023-12-01,70.46,73.23,1.89
