date,wti_crude_usd_bbl,brent_crude_usd_bbl,gasoline_retail_usd_gal
2008-01-01,76.29,80.09,2.04
2008-02-01,77.39,79.47,2.22
2008-03-01,73.27,75.74,2.1
2008-04-01,78.85,81.61,2.2
2008-05-01,65.97,69.2,1.86
2008-06-01,71.58,73.63,2.01
2008-07-01,71.02,72.81,2.06
2008-08-01,74.35,76.54,2.03
2008-09-01,78.19,79.93,2.17
2008-10-01,67.8,69.78,1.99
2008-11-01,75.95,79.11,2.05
2008-12-01,77.67,81.68,2.06
2009-01-01,70.89,72.44,1.96
2009-02-01,65.45,68.76,1.8
2009-03-01,66.18,67.84,1.88
2009-04-01,71.15,74.39,2.05
2009-05-01,76.07,79.68,2.1
2009-06-01,71.55,73.13,1.99
2009-07-01,78.69,82.94,2.27
2009-08-01,76.54,80.18,2.07
2009-09-01,66.74,69.4,1.8
2009-10-01,75.98,78.67,2.11
2009-11-01,71.81,75.48,1.94
2009-12-01,71.08,73.47,1.98
2010-01-01,69.88,72.07,1.94
2010-02-01,70.86,72.8,2.07
2010-03-01,79.51,81.41,2.16
2010-04-01,75.85,78.33,2.15
2010-05-01,77.99,80.88,2.15
2010-06-01,77.45,81.26,2.07
2010-07-01,71.18,73.37,1.93
2010-08-01,75.01,77.46,2.0
2010-09-01,77.45,80.48,2.16
2010-10-01,77.59,79.75,2.17
2010-11-01,74.99,77.76,2.03
2010-12-01,76.82,80.01,2.19
2011-01-01,77.04,80.35,2.05
2011-02-01,76.02,78.58,2.04
2011-03-01,78.39,82.07,2.26
2011-04-01,79.11,83.1,2.22
2011-05-01,79.91,81.84,2.16
2011-06-01,75.05,78.81,2.1
2011-07-01,70.05,72.92,1.97
2011-08-01,70.56,73.97,1.99
2011-09-01,77.97,80.04,2.09
2011-10-01,77.3,81.23,2.11
2011-11-01,73.96,76.38,2.01
2011-12-01,68.27,72.04,1.87
2012-01-01,77.54,81.83,2.13
2012-02-01,69.93,73.62,2.02
2012-03-01,76.02,78.88,2.02
2012-04-01,73.36,77.02,1.96
2012-05-01,73.81,77.31,1.99
2012-06-01,77.39,81.01,2.1
2012-07-01,75.2,79.15,1.99
2012-08-01,69.82,71.44,1.9
2012-09-01,69.85,72.73,1.93
2012-10-01,70.97,73.5,1.99
2012-11-01,69.64,73.77,1.87
2012-12-01,70.07,73.71,2.01
