date,fed_funds_rate,prime_rate,10yr_treasury,sp500_monthly_return
2015-01,1.99,4.99,2.5,0.48
2015-04,2.02,5.02,2.56,4.69
2015-07,1.98,4.98,2.53,-2.44
2015-10,1.95,4.95,2.62,0.53
2016-01,1.98,4.98,2.67,3.49
2016-04,2.0,5.0,2.62,0.57
2016-07,2.1,5.1,2.68,-2.12
2016-10,2.08,5.08,2.61,0.56
2017-01,1.93,4.93,2.33,2.63
2017-04,2.0,5.0,2.64,-1.53
2017-07,2.07,5.07,2.53,-0.12
2017-10,2.02,5.02,2.54,4.0
2018-01,1.93,4.93,2.62,-2.95
2018-04,1.94,4.94,2.58,-1.64
2018-07,1.93,4.93,2.36,4.07
2018-10,1.9,4.9,2.49,-2.07
2019-01,2.82,5.82,3.38,4.91
2019-04,2.79,5.79,3.37,3.98
2019-07,2.73,5.73,3.42,-0.5
2019-10,2.75,5.75,3.37,-2.69
