sku,description,date,units_in_stock,reorder_point,days_until_restock,status
22423,REGENCY CAKESTAND 3 TIER,2010-11-01,348,50,0,IN_STOCK
84879,ASSORTED COLOUR BIRD ORNAMENT,2010-11-01,338,50,0,IN_STOCK
21232,STRAWBERRY CERAMIC TRINKET BOX,2010-11-01,271,50,0,IN_STOCK
22720,SET OF 3 CAKE TINS PANTRY DESIGN,2010-11-01,401,50,0,IN_STOCK
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2010-11-01,276,50,0,IN_STOCK
22423,REGENCY CAKESTAND 3 TIER,2010-11-12,0,50,28,OUT_OF_STOCK
84879,ASSORTED COLOUR BIRD ORNAMENT,2010-11-12,0,50,17,OUT_OF_STOCK
21232,STRAWBERRY CERAMIC TRINKET BOX,2010-11-12,0,50,27,OUT_OF_STOCK
22720,SET OF 3 CAKE TINS PANTRY DESIGN,2010-11-12,0,50,15,OUT_OF_STOCK
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2010-11-12,0,50,20,OUT_OF_STOCK
85099B,JUMBO BAG RED RETROSPOT,2010-11-12,202,30,0,IN_STOCK
47566,PARTY BUNTING,2010-11-12,289,30,0,IN_STOCK
20725,LUNCH BAG RED RETROSPOT,2010-11-12,266,30,0,IN_STOCK
POST,POSTAGE,2010-11-12,148,30,0,IN_STOCK
