state,year,quarter,unemployment_rate
OH,2016,1,5.44
OH,2016,2,5.25
OH,2016,3,3.66
OH,2016,4,4.13
OH,2017,1,5.2
OH,2017,2,5.34
OH,2017,3,5.01
OH,2017,4,3.83
OH,2018,1,6.47
OH,2018,2,7.43
OH,2018,3,7.46
OH,2018,4,5.62
OH,2019,1,5.87
OH,2019,2,6.67
OH,2019,3,5.58
OH,2019,4,7.95
MI,2016,1,4.63
MI,2016,2,3.42
MI,2016,3,4.27
MI,2016,4,4.32
MI,2017,1,4.31
MI,2017,2,4.28
MI,2017,3,4.36
MI,2017,4,5.22
MI,2018,1,7.02
MI,2018,2,6.25
MI,2018,3,7.98
MI,2018,4,6.13
MI,2019,1,7.11
MI,2019,2,5.79
MI,2019,3,5.81
MI,2019,4,6.98
PA,2016,1,3.41
PA,2016,2,4.53
PA,2016,3,5.17
PA,2016,4,4.55
PA,2017,1,4.67
PA,2017,2,5.25
PA,2017,3,4.94
PA,2017,4,4.19
PA,2018,1,5.6
PA,2018,2,7.03
PA,2018,3,5.94
PA,2018,4,6.87
PA,2019,1,5.18
PA,2019,2,7.16
PA,2019,3,7.07
PA,2019,4,8.01
WA,2016,1,4.0
WA,2016,2,3.74
WA,2016,3,5.77
WA,2016,4,4.84
WA,2017,1,5.46
WA,2017,2,3.78
WA,2017,3,4.05
WA,2017,4,3.9
WA,2018,1,4.45
WA,2018,2,4.63
WA,2018,3,4.12
WA,2018,4,4.55
WA,2019,1,3.55
WA,2019,2,3.42
WA,2019,3,3.62
WA,2019,4,5.61
CO,2016,1,4.55
CO,2016,2,3.45
CO,2016,3,4.52
CO,2016,4,3.82
CO,2017,1,4.77
CO,2017,2,3.51
CO,2017,3,5.3
CO,2017,4,5.29
CO,2018,1,4.77
CO,2018,2,4.33
CO,2018,3,5.35
CO,2018,4,4.69
CO,2019,1,5.16
CO,2019,2,4.53
CO,2019,3,4.16
CO,2019,4,5.22
MN,2016,1,3.87
MN,2016,2,5.51
MN,2016,3,4.18
MN,2016,4,5.35
MN,2017,1,4.73
MN,2017,2,4.71
MN,2017,3,4.35
MN,2017,4,3.72
MN,2018,1,3.74
MN,2018,2,3.9
MN,2018,3,4.6
MN,2018,4,3.55
MN,2019,1,5.75
MN,2019,2,4.91
MN,2019,3,4.79
MN,2019,4,4.3
NC,2016,1,4.28
NC,2016,2,4.4
NC,2016,3,4.14
NC,2016,4,3.96
NC,2017,1,3.63
NC,2017,2,4.81
NC,2017,3,4.26
NC,2017,4,5.55
NC,2018,1,4.07
NC,2018,2,4.21
NC,2018,3,5.75
NC,2018,4,5.55
NC,2019,1,5.58
NC,2019,2,3.7
NC,2019,3,4.5
NC,2019,4,4.8
VA,2016,1,4.69
VA,2016,2,4.55
VA,2016,3,4.28
VA,2016,4,5.2
VA,2017,1,4.56
VA,2017,2,3.92
VA,2017,3,4.05
VA,2017,4,4.07
VA,2018,1,5.28
VA,2018,2,4.05
VA,2018,3,3.75
VA,2018,4,5.22
VA,2019,1,3.82
VA,2019,2,4.57
VA,2019,3,3.57
VA,2019,4,5.02
