date,fed_funds_rate,prime_rate,10yr_treasury,sp500_monthly_return
2015-01,1.48,4.48,2.16,1.09
2015-04,1.51,4.51,1.93,3.87
2015-07,1.41,4.41,1.88,4.23
2015-10,1.43,4.43,1.94,-1.1
2016-01,1.48,4.48,2.16,0.79
2016-04,1.49,4.49,2.05,1.56
2016-07,1.46,4.46,2.13,1.03
2016-10,1.56,4.56,2.01,3.33
2017-01,1.56,4.56,2.09,-0.87
2017-04,1.44,4.44,1.98,1.16
2017-07,1.44,4.44,2.01,-1.45
2017-10,1.57,4.57,2.1,4.37
2018-01,2.27,5.27,2.87,1.56
2018-04,2.26,5.26,2.83,-0.0
2018-07,2.25,5.25,2.71,3.05
2018-10,2.34,5.34,2.88,-1.04
2019-01,2.34,5.34,2.96,2.93
2019-04,2.25,5.25,2.88,-2.44
2019-07,2.24,5.24,2.89,-2.02
2019-10,2.33,5.33,2.97,-1.81
