date,max_temp_f,min_temp_f,precipitation_in,wind_speed_mph,condition
2018-07-10,61.0,51.0,0.1,8.6,Partly Cloudy
2018-07-11,69.0,44.0,0.13,13.3,Clear
2018-07-12,70.0,48.0,0.08,12.4,Clear
2018-07-13,67.0,50.0,0.09,8.2,Clear
2018-07-14,69.0,58.0,0.17,9.8,Partly Cloudy
2018-07-15,58.0,55.0,0.08,5.9,Partly Cloudy
2018-07-16,72.0,54.0,0.18,7.1,Partly Cloudy
2018-07-17,70.0,45.0,0.13,14.1,Partly Cloudy
2018-07-18,60.0,53.0,0.16,13.9,Clear
2018-07-19,66.0,53.0,0.19,6.1,Partly Cloudy
2018-07-20,58,51,1.82,33.8,Heavy Rain
2018-07-21,58,51,1.71,37.3,Heavy Rain
2018-07-22,65.0,57.0,0.08,5.6,Partly Cloudy
2018-07-23,60.0,48.0,0.07,9.1,Partly Cloudy
2018-07-24,62.0,57.0,0.18,14.4,Partly Cloudy
2018-07-25,66.0,43.0,0.02,9.6,Partly Cloudy
2018-07-26,64.0,51.0,0.16,10.2,Partly Cloudy
2018-07-27,70.0,47.0,0.03,14.1,Partly Cloudy
2018-07-28,62.0,48.0,0.07,8.9,Partly Cloudy
