oracle_score,team_uplift,fitted_curve,lowess
0.210000,0.000000,,
0.730000,0.090000,,
0.800000,0.100000,,
0.830000,0.060000,,
0.590000,-0.590000,,
0.236667,0.050000,,
0.470000,0.400000,,
0.090000,0.093333,,
0.800000,0.000000,,
1.000000,0.000000,,
0.270000,0.090000,,
0.190000,0.046667,,
0.445000,0.555000,,
0.170000,0.000000,,
0.066667,0.043333,,
0.000000,0.000000,,
0.385000,0.017500,,
0.286667,0.713333,,
1.000000,0.000000,,
0.470000,0.130000,,
0.432500,-0.100000,,
0.800000,0.200000,,
0.830000,0.090000,,
0.850000,-0.390000,,
0.310000,-0.310000,,
0.770000,-0.770000,,
0.900000,0.100000,,
0.306667,0.333333,,
0.296667,0.703333,,
0.900000,-0.200000,,
0.900000,0.100000,,
0.860000,-0.290000,,
0.930000,0.000000,,
0.250000,-0.250000,,
0.300000,0.100000,,
0.236667,0.050000,,
0.800000,-0.100000,,
0.400000,-0.400000,,
0.770000,-0.770000,,
0.000000,0.062500,,
0.920000,0.080000,,
0.333333,0.000000,,
0.910000,0.090000,,
0.900000,0.100000,,
0.670000,0.000000,,
0.300000,0.000000,,
0.000000,0.000000,,
0.600000,0.100000,,
0.500000,0.100000,,
1.000000,0.000000,,
0.600000,0.130000,,
0.192500,0.000000,,
0.920000,-0.920000,,
0.000000,1.000000,,
0.095000,0.192500,,
0.456667,0.000000,,
1.000000,0.000000,,
0.500000,-0.500000,,
0.950000,0.050000,,
0.060000,0.243333,,
0.300000,0.366667,,
0.920000,-0.150000,,
0.000000,0.850000,,
0.750000,0.130000,,
0.286667,0.000000,,
0.296667,0.036667,,
0.182500,0.567500,,
0.900000,0.100000,,
0.750000,-0.080000,,
0.375000,0.040000,,
0.000000,0.306667,,
0.393000,0.017750,,
0.250000,0.043333,,
0.900000,0.100000,,
0.800000,-0.800000,,
0.920000,-0.920000,,
0.500000,-0.500000,,
0.800000,0.000000,,
0.750000,0.000000,,
0.930000,0.070000,,
0.290000,0.000000,,
0.820000,-0.820000,,
0.900000,0.100000,,
0.900000,0.000000,,
0.000000,0.000000,,
0.770000,-0.770000,,
0.430000,0.000000,,
1.000000,0.000000,,
1.000000,0.000000,,
0.920000,0.080000,,
1.000000,0.000000,,
0.000000,0.000000,,
0.260000,0.036667,,
0.900000,0.100000,,
0.166667,0.100000,,
0.900000,0.050000,,
0.550000,-0.550000,,
0.930000,0.070000,,
0.500000,0.000000,,
1.000000,-1.000000,,
1.000000,0.000000,,
0.800000,0.000000,,
0.700000,0.000000,,
0.900000,0.000000,,
0.920000,0.080000,,
0.780000,0.090000,,
0.430000,-0.430000,,
0.300000,0.000000,,
0.900000,0.000000,,
0.200000,0.000000,,
1.000000,-0.366667,,
0.600000,0.000000,,
0.750000,-0.750000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.540000,-0.540000,,
0.500000,-0.500000,,
0.380000,0.000000,,
0.000000,0.220000,,
0.300000,0.000000,,
0.200000,0.000000,,
0.360000,-0.360000,,
0.450000,-0.450000,,
0.580000,-0.580000,,
0.300000,-0.300000,,
0.420000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.570000,0.000000,,
0.000000,0.000000,,
0.550000,-0.550000,,
0.400000,0.000000,,
0.200000,-0.200000,,
0.400000,-0.400000,,
0.670000,0.000000,,
0.310000,0.000000,,
0.330000,-0.330000,,
0.600000,-0.600000,,
0.083300,0.000000,,
0.071000,-0.071000,,
0.120000,-0.120000,,
0.800000,-0.800000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.770000,0.000000,,
0.500000,-0.250000,,
0.380000,0.620000,,
0.890000,0.110000,,
1.000000,0.000000,,
0.500000,0.500000,,
0.730000,0.090000,,
0.640000,0.180000,,
0.580000,0.000000,,
0.300000,0.200000,,
0.750000,0.080000,,
0.930000,0.070000,,
1.000000,0.000000,,
0.710000,0.000000,,
0.880000,0.120000,,
0.910000,0.090000,,
0.600000,0.200000,,
1.000000,0.000000,,
0.400000,0.200000,,
0.830000,0.090000,,
0.310000,0.000000,,
0.330000,0.000000,,
0.600000,0.200000,,
0.333300,0.083400,,
0.786000,0.000000,,
0.750000,-0.060000,,
0.800000,0.100000,,
0.640000,0.090000,,
1.000000,-0.100000,,
1.000000,0.000000,,
0.243333,0.030000,,
0.300000,0.300000,,
0.223333,0.026667,,
0.930000,0.070000,,
1.000000,0.000000,,
0.860000,-0.070000,,
0.293333,0.706667,,
0.200000,0.066667,,
1.000000,0.000000,,
0.600000,0.400000,,
0.330000,0.000000,,
0.133333,0.200000,,
0.500000,-0.083300,,
0.880000,-0.190000,,
0.900000,0.000000,,
0.640000,0.090000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.380000,-0.380000,,
0.220000,-0.220000,,
0.000000,0.000000,,
0.200000,-0.200000,,
0.360000,-0.360000,,
0.450000,-0.450000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.420000,-0.420000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.550000,-0.550000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.000000,0.000000,,
0.670000,-0.670000,,
0.000000,0.000000,,
