state,year,quarter,unemployment_rate
CA,2016,1,3.87
CA,2016,2,5.27
CA,2016,3,3.41
CA,2016,4,5.17
CA,2017,1,6.66
CA,2017,2,6.89
CA,2017,3,6.39
CA,2017,4,5.67
CA,2018,1,6.97
CA,2018,2,7.74
CA,2018,3,5.54
CA,2018,4,7.95
CA,2019,1,8.07
CA,2019,2,7.04
CA,2019,3,7.09
CA,2019,4,7.0
NY,2016,1,3.8
NY,2016,2,4.34
NY,2016,3,3.27
NY,2016,4,5.33
NY,2017,1,6.82
NY,2017,2,7.18
NY,2017,3,6.6
NY,2017,4,5.8
NY,2018,1,6.97
NY,2018,2,7.35
NY,2018,3,6.41
NY,2018,4,7.3
NY,2019,1,6.05
NY,2019,2,6.36
NY,2019,3,6.6
NY,2019,4,7.32
IL,2016,1,4.44
IL,2016,2,4.21
IL,2016,3,4.91
IL,2016,4,4.59
IL,2017,1,7.22
IL,2017,2,6.36
IL,2017,3,6.02
IL,2017,4,6.74
IL,2018,1,7.07
IL,2018,2,6.35
IL,2018,3,5.58
IL,2018,4,6.8
IL,2019,1,6.16
IL,2019,2,6.62
IL,2019,3,7.5
IL,2019,4,5.71
WA,2016,1,3.94
WA,2016,2,4.19
WA,2016,3,3.83
WA,2016,4,4.12
WA,2017,1,5.25
WA,2017,2,4.7
WA,2017,3,5.43
WA,2017,4,4.32
WA,2018,1,4.11
WA,2018,2,4.8
WA,2018,3,5.3
WA,2018,4,5.42
WA,2019,1,5.34
WA,2019,2,3.98
WA,2019,3,4.75
WA,2019,4,4.29
CO,2016,1,5.62
CO,2016,2,4.54
CO,2016,3,4.7
CO,2016,4,5.02
CO,2017,1,4.75
CO,2017,2,5.64
CO,2017,3,5.36
CO,2017,4,5.51
CO,2018,1,3.56
CO,2018,2,3.46
CO,2018,3,4.42
CO,2018,4,4.06
CO,2019,1,5.41
CO,2019,2,5.35
CO,2019,3,4.05
CO,2019,4,5.46
MN,2016,1,5.03
MN,2016,2,3.83
MN,2016,3,4.32
MN,2016,4,5.19
MN,2017,1,3.83
MN,2017,2,5.23
MN,2017,3,5.7
MN,2017,4,4.23
MN,2018,1,4.66
MN,2018,2,5.03
MN,2018,3,4.73
MN,2018,4,5.31
MN,2019,1,4.94
MN,2019,2,4.76
MN,2019,3,4.94
MN,2019,4,5.24
NC,2016,1,3.84
NC,2016,2,4.37
NC,2016,3,4.86
NC,2016,4,4.11
NC,2017,1,4.81
NC,2017,2,4.19
NC,2017,3,4.17
NC,2017,4,4.11
NC,2018,1,3.86
NC,2018,2,4.78
NC,2018,3,4.47
NC,2018,4,4.95
NC,2019,1,3.43
NC,2019,2,5.53
NC,2019,3,3.39
NC,2019,4,3.93
VA,2016,1,4.72
VA,2016,2,5.31
VA,2016,3,4.6
VA,2016,4,3.33
VA,2017,1,4.99
VA,2017,2,3.84
VA,2017,3,3.98
VA,2017,4,4.27
VA,2018,1,5.41
VA,2018,2,5.25
VA,2018,3,3.79
VA,2018,4,5.53
VA,2019,1,4.77
VA,2019,2,3.36
VA,2019,3,4.69
VA,2019,4,4.1
