date,max_temp_f,min_temp_f,precipitation_in,wind_speed_mph,condition
2018-03-04,65.0,47.0,0.17,8.6,Clear
2018-03-05,69.0,50.0,0.12,11.4,Clear
2018-03-06,64.0,46.0,0.06,11.6,Partly Cloudy
2018-03-07,58.0,51.0,0.13,9.3,Partly Cloudy
2018-03-08,65.0,52.0,0.15,5.5,Partly Cloudy
2018-03-09,60.0,56.0,0.15,5.4,Clear
2018-03-10,61.0,49.0,0.15,10.0,Partly Cloudy
2018-03-11,56.0,52.0,0.09,14.2,Partly Cloudy
2018-03-12,71.0,54.0,0.16,5.1,Partly Cloudy
2018-03-13,70.0,44.0,0.13,12.3,Partly Cloudy
2018-03-14,58,51,1.44,30.3,Heavy Rain
2018-03-15,58,51,1.72,35.2,Heavy Rain
2018-03-16,65.0,56.0,0.06,13.1,Partly Cloudy
2018-03-17,71.0,42.0,0.04,8.9,Partly Cloudy
2018-03-18,60.0,48.0,0.12,10.8,Partly Cloudy
2018-03-19,65.0,51.0,0.12,9.5,Clear
2018-03-20,69.0,43.0,0.12,6.7,Clear
2018-03-21,62.0,49.0,0.17,9.1,Partly Cloudy
2018-03-22,67.0,55.0,0.0,5.2,Clear
2018-03-23,63.0,50.0,0.17,7.4,Partly Cloudy
