date,imports_bn_usd,exports_bn_usd,trade_balance_bn_usd,import_price_index,energy_import_share_pct
2005-01-01,196.4,174.7,-21.7,100.7,12.2
2005-02-01,192.4,172.5,-19.9,98.9,13.2
2005-03-01,196.8,186.6,-10.2,101.8,12.9
2005-04-01,201.2,188.0,-13.2,100.7,10.7
2005-05-01,191.7,173.9,-17.8,102.4,13.9
2005-06-01,200.1,179.3,-20.8,102.9,12.6
2005-07-01,205.1,173.3,-31.8,99.6,10.1
2005-08-01,205.5,187.0,-18.5,100.8,11.3
2005-09-01,201.8,183.7,-18.1,98.4,12.5
2005-10-01,201.4,173.5,-27.9,100.5,10.8
2005-11-01,193.9,173.8,-20.1,98.9,11.6
2005-12-01,205.5,185.3,-20.2,98.7,12.4
2006-01-01,198.9,180.1,-18.8,100.0,12.6
2006-02-01,190.3,172.4,-17.9,103.3,10.2
2006-03-01,200.2,177.2,-23.0,101.3,12.0
2006-04-01,206.1,183.4,-22.7,102.4,13.2
2006-05-01,192.3,185.8,-6.5,101.8,10.8
2006-06-01,204.9,173.8,-31.1,103.6,13.7
2006-07-01,207.6,176.0,-31.6,98.3,13.6
2006-08-01,194.8,172.6,-22.2,99.6,10.6
2006-09-01,200.9,177.0,-23.9,101.2,11.5
2006-10-01,190.7,183.2,-7.5,99.0,13.6
2006-11-01,199.0,173.9,-25.1,101.9,12.0
2006-12-01,207.8,183.2,-24.6,102.5,12.1
2007-01-01,207.0,178.5,-28.5,102.8,12.5
2007-02-01,196.3,182.3,-14.0,103.9,10.8
2007-03-01,200.4,185.9,-14.5,100.1,13.5
2007-04-01,195.0,187.1,-7.9,99.8,12.4
2007-05-01,195.1,186.1,-9.0,103.8,14.0
2007-06-01,209.2,187.5,-21.7,98.1,13.8
2007-07-01,208.9,172.9,-36.0,103.0,12.2
2007-08-01,204.6,177.9,-26.7,103.6,13.1
2007-09-01,203.7,175.9,-27.8,98.5,12.4
2007-10-01,204.7,187.3,-17.4,113.0,21.0
2007-11-01,192.6,182.3,-10.3,111.4,22.7
2007-12-01,201.3,179.5,-21.8,115.0,26.3
2008-01-01,198.9,179.8,-19.1,113.7,21.0
2008-02-01,208.1,178.5,-29.6,117.7,18.7
2008-03-01,203.2,172.4,-30.8,111.9,26.8
2008-04-01,209.5,185.9,-23.6,117.2,23.4
2008-05-01,193.0,182.5,-10.5,116.5,23.6
2008-06-01,192.6,172.1,-20.5,113.1,23.3
2008-07-01,204.5,177.4,-27.1,113.8,21.3
2008-08-01,198.7,185.6,-13.1,114.9,27.4
2008-09-01,202.7,180.0,-22.7,112.4,23.2
2008-10-01,204.3,184.3,-20.0,98.1,10.7
2008-11-01,203.5,187.2,-16.3,100.9,13.5
2008-12-01,190.6,173.9,-16.7,99.5,11.6
2009-01-01,192.4,180.7,-11.7,102.4,11.0
2009-02-01,199.6,177.4,-22.2,103.6,13.4
2009-03-01,207.8,176.9,-30.9,100.2,12.7
2009-04-01,201.2,186.5,-14.7,102.3,11.9
2009-05-01,199.4,183.2,-16.2,100.1,11.6
2009-06-01,208.4,185.2,-23.2,101.1,11.2
2009-07-01,203.3,178.5,-24.8,103.8,12.4
2009-08-01,190.9,175.3,-15.6,98.8,12.3
2009-09-01,201.5,180.7,-20.8,98.2,11.5
2009-10-01,194.0,177.7,-16.3,99.4,10.0
2009-11-01,204.1,186.8,-17.3,100.5,11.1
2009-12-01,209.2,187.5,-21.7,101.1,10.8
